id,name,supplier,manufacturer,unit,unit_price_amount,is_weight_item,created_at,updated_at,product_id,type_id,category_id,subcategory_id,image_url
0314114a-a96d-4365-8607-001dec36d30f,"Appelsin billigste, pr. kg",Diverse,Diverse,kg,1.00,true,2025-08-31 19:05:54.928433+00,2025-09-03 18:07:47.830864+00,32002,,37b3e934-8f74-45e7-abb8-cc24fe5b04a1,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756922869353-weu89nptca.jpg
08af5ec4-9eb6-4223-9544-41a887a36b7f,"Synnøve gresk yoghurt naturell, 350 g",Synnøve Finden,Synnøve Finden,stk,0.35,false,2025-08-31 19:05:55.517203+00,2025-09-03 18:34:26.160451+00,34005,,5b931559-5fa7-4c7d-8728-7c43e661316a,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756924467952-h0mqtqur5mr.png
0a0e0660-128c-4aa2-8a6b-ec26ed41b2ba,"Hakkede tomater, billigste boks, pr. kg",Diverse,Diverse,kg,1.00,true,2025-08-31 19:05:56.109326+00,2025-09-10 19:21:55.675519+00,37002,,90669ae1-465d-4adf-bc8f-02b68e5c3232,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1757532114927-divtej4jgzq.png
0c8736e6-d0b5-4852-9777-62ba3e8f7710,Fjordland kjøttkaker av storfe med ertestuing og poteter 605 g,Fjordland,Fjordland,stk,0.61,false,2025-08-31 19:05:55.150319+00,2025-09-03 18:10:56.23039+00,33004,,5d165a29-2ab1-49a5-b54a-a31ef5a42563,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756923057714-dhv7iawkkxo.png
0d067bf1-b566-4ade-99f0-e544fc0401c0,Nora Hjemmelaget jordbærsyltetøy 400 g,Orkla,Nora,stk,0.40,false,2025-08-31 19:05:55.734882+00,2025-09-03 18:22:21.755271+00,35010,,219e0574-07f2-4459-adbc-b37dfdd0af2c,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756923743800-0pz0xwt18f5p.png
0d740494-b9fc-4268-ae61-043ecfff0be4,"Synnøve Gudbrandsdalsost, 480 g",Synnøve Finden,Synnøve Finden,stk,0.48,false,2025-08-31 19:05:55.912952+00,2025-09-03 18:34:52.790648+00,35014,,219e0574-07f2-4459-adbc-b37dfdd0af2c,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756924494069-k0mo2ch28k.png
17e1a73c-e3a6-4d11-adf9-8f13b9c01a0f,"Tomater, vanlige pr. kg",Diverse,Diverse,kg,1.00,true,2025-08-31 19:05:55.139336+00,2025-09-03 18:38:35.618668+00,32012,,37b3e934-8f74-45e7-abb8-cc24fe5b04a1,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756924717526-avenr0z2p0p.png
18c67cae-2bd3-4d76-8d94-4a9ad9d5e59c,Grilstad Jubelsalami 170 g,Grilstad,Grilstad,stk,0.17,false,2025-08-31 19:05:55.702334+00,2025-09-03 18:12:29.941891+00,35004,,219e0574-07f2-4459-adbc-b37dfdd0af2c,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756923150992-srpsuoxrz3.png
194b5058-7a6c-446a-93e9-9c19bca99eeb,Agurk 1 stk,Diverse,Diverse,stk,1.00,false,2025-08-31 19:05:54.913172+00,2025-09-03 18:07:33.824434+00,32001,,37b3e934-8f74-45e7-abb8-cc24fe5b04a1,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756922854593-ttx3ilcdarf.png
1c217d0f-d101-4c88-a788-2338f9492eb5,Philadelphia light 200 g,Mondelez,Philadelphia,stk,0.20,false,2025-08-31 19:05:55.929122+00,2025-09-03 18:25:01.007495+00,35012,,219e0574-07f2-4459-adbc-b37dfdd0af2c,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756923902876-r6nzleul93.png
1ed8717a-fd51-412a-9080-59f6d00da76b,Bixit Original 300 g,Orkla,Orkla,stk,0.30,false,2025-08-31 19:05:54.70363+00,2025-09-03 18:08:41.092602+00,30001,,29f219b1-9da8-4ab4-a668-877991202db8,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756922922915-ycjyc349kar.png
208e884d-7050-464d-bbfe-f568cb8ada36,"Kokt skinke billigste, pr. kg",Diverse,Diverse,kg,1.00,true,2025-08-31 19:05:55.709002+00,2025-09-10 17:36:09.393885+00,35008,,219e0574-07f2-4459-adbc-b37dfdd0af2c,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756923254788-2v03vz2sh26.png
215462d5-3f2e-4b6b-8e1f-62fa6de02269,"Lerum Hushaldning 80% saft uten tilsatt sukker, 0,75 l",Lerum,Lerum,stk,1.00,false,2025-08-31 19:05:54.724613+00,2025-09-13 06:43:39.323463+00,31003,,66ddca00-758f-49bb-b3af-d615c54251aa,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756923418200-aphp4r4mic.png
266e5c1a-019d-457a-81c7-57221dfc4e9d,"Poteter løsvekt eller pose, billigste, pr. kg",Diverse,Diverse,kg,1.00,true,2025-08-31 19:05:55.154432+00,2025-09-03 18:26:40.348439+00,32010,,37b3e934-8f74-45e7-abb8-cc24fe5b04a1,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756924001992-lkocszyzyel.png
2907835b-f98f-4dd6-b65c-fb7453728d0a,"Pepsi Max, 4 x 1,5 l",Ringnes,PepsiCo,stk,6.00,false,2025-08-31 19:05:54.690932+00,2025-09-10 17:37:21.479875+00,31004,,66ddca00-758f-49bb-b3af-d615c54251aa,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756923869342-eh1orlm5ydb.png
297539fa-591b-4ac5-928e-0704571f67db,"Fiskepinner fryst, billigste, pr. kg",Diverse,Diverse,kg,1.00,true,2025-08-31 19:05:55.127859+00,2025-09-03 18:10:44.730371+00,33003,,5d165a29-2ab1-49a5-b54a-a31ef5a42563,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756923046114-9wj1jwucdtq.png
29823e71-e6fe-4e99-a9ad-847ca857b521,Gilde ovnsbakt leverpostei original 190 g,Nortura,Gilde,stk,0.19,false,2025-08-31 19:05:55.704222+00,2025-09-03 18:11:25.652145+00,35003,,219e0574-07f2-4459-adbc-b37dfdd0af2c,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756923086973-cknipw0rrdi.png
2bc08e94-184b-4441-bf94-5f78c634851d,Yoplait Double vanilje 4 x 125 g,Fjordland/Yoplait,Yoplait,stk,0.50,false,2025-08-31 19:05:55.507421+00,2025-09-03 18:41:15.497428+00,34007,,5b931559-5fa7-4c7d-8728-7c43e661316a,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756924877417-2t1vothq9o4.png
2f7d15c1-dc9c-472a-beb2-80a05c430822,Synnøve Revet Økonomipakke 400 g,Synnøve Finden,Synnøve Finden,stk,0.40,false,2025-08-31 19:05:55.503695+00,2025-09-03 18:36:48.66628+00,34006,,5b931559-5fa7-4c7d-8728-7c43e661316a,,https://qnzratxwonswkaenuhyx.supabase.co/storage/v1/object/public/product-images/products/1756924610113-xryarnyw4zd.png
